DS,N_CONTRACTS_CREATED
2021-01-02 00:00:00.000,31780
2021-01-03 00:00:00.000,11321
2021-01-04 00:00:00.000,15401
2021-01-05 00:00:00.000,13290
2021-01-06 00:00:00.000,15668
2021-01-07 00:00:00.000,14191
2021-01-08 00:00:00.000,19922
2021-01-09 00:00:00.000,22998
2021-01-10 00:00:00.000,32330
2021-01-11 00:00:00.000,12592
2021-01-12 00:00:00.000,33637
2021-01-13 00:00:00.000,36262
2021-01-14 00:00:00.000,23427
2021-01-15 00:00:00.000,19268
2021-01-16 00:00:00.000,24036
2021-01-17 00:00:00.000,43738
2021-01-18 00:00:00.000,24768
2021-01-19 00:00:00.000,13388
2021-01-20 00:00:00.000,22661
2021-01-21 00:00:00.000,13225
2021-01-22 00:00:00.000,14600
2021-01-23 00:00:00.000,19181
2021-01-24 00:00:00.000,16422
2021-01-25 00:00:00.000,13207
2021-01-26 00:00:00.000,29836
2021-01-27 00:00:00.000,15171
2021-01-28 00:00:00.000,27242
2021-01-29 00:00:00.000,24619
2021-01-30 00:00:00.000,49080
2021-01-31 00:00:00.000,34331
2021-02-01 00:00:00.000,20000
2021-02-02 00:00:00.000,16779
2021-02-03 00:00:00.000,23462
2021-02-04 00:00:00.000,22168
2021-02-05 00:00:00.000,31294
2021-02-06 00:00:00.000,84368
2021-02-07 00:00:00.000,71256
2021-02-08 00:00:00.000,50044
2021-02-09 00:00:00.000,19352
2021-02-10 00:00:00.000,22694
2021-02-11 00:00:00.000,35334
2021-02-12 00:00:00.000,25383
2021-02-13 00:00:00.000,22988
2021-02-14 00:00:00.000,45937
2021-02-15 00:00:00.000,37715
2021-02-16 00:00:00.000,26765
2021-02-17 00:00:00.000,24055
2021-02-18 00:00:00.000,20384
2021-02-19 00:00:00.000,20837
2021-02-20 00:00:00.000,22120
2021-02-21 00:00:00.000,44052
2021-02-22 00:00:00.000,19772
2021-02-23 00:00:00.000,11952
2021-02-24 00:00:00.000,39841
2021-02-25 00:00:00.000,54813
2021-02-26 00:00:00.000,38963
2021-02-27 00:00:00.000,26437
2021-02-28 00:00:00.000,31176
2021-03-01 00:00:00.000,32966
2021-03-02 00:00:00.000,30919
2021-03-03 00:00:00.000,20049
2021-03-04 00:00:00.000,17686
2021-03-05 00:00:00.000,18437
2021-03-06 00:00:00.000,31754
2021-03-07 00:00:00.000,16542
2021-03-08 00:00:00.000,12881
2021-03-09 00:00:00.000,13230
2021-03-10 00:00:00.000,15806
2021-03-11 00:00:00.000,17185
2021-03-12 00:00:00.000,17234
2021-03-13 00:00:00.000,18512
2021-03-14 00:00:00.000,19132
2021-03-15 00:00:00.000,18119
2021-03-16 00:00:00.000,19941
2021-03-17 00:00:00.000,19535
2021-03-18 00:00:00.000,24244
2021-03-19 00:00:00.000,24166
2021-03-20 00:00:00.000,25851
2021-03-21 00:00:00.000,49715
2021-03-22 00:00:00.000,19132
2021-03-23 00:00:00.000,21349
2021-03-24 00:00:00.000,17978
2021-03-25 00:00:00.000,29940
2021-03-26 00:00:00.000,23803
2021-03-27 00:00:00.000,46178
2021-03-28 00:00:00.000,49522
2021-03-29 00:00:00.000,27220
2021-03-30 00:00:00.000,16499
2021-03-31 00:00:00.000,17022
2021-04-01 00:00:00.000,17408
2021-04-02 00:00:00.000,19877
2021-04-03 00:00:00.000,18322
2021-04-04 00:00:00.000,56431
2021-04-05 00:00:00.000,45456
2021-04-06 00:00:00.000,20194
2021-04-07 00:00:00.000,33688
2021-04-08 00:00:00.000,54199
2021-04-09 00:00:00.000,44698
2021-04-10 00:00:00.000,78592
2021-04-11 00:00:00.000,82915
2021-04-12 00:00:00.000,47704
2021-04-13 00:00:00.000,34834
2021-04-14 00:00:00.000,24483
2021-04-15 00:00:00.000,55096
2021-04-16 00:00:00.000,20682
2021-04-17 00:00:00.000,23739
2021-04-18 00:00:00.000,22894
2021-04-19 00:00:00.000,24398
2021-04-20 00:00:00.000,21470
2021-04-21 00:00:00.000,31130
2021-04-22 00:00:00.000,29595
2021-04-23 00:00:00.000,56131
2021-04-24 00:00:00.000,204757
2021-04-25 00:00:00.000,197503
2021-04-26 00:00:00.000,51340
2021-04-27 00:00:00.000,64280
2021-04-28 00:00:00.000,42233
2021-04-29 00:00:00.000,36886
2021-04-30 00:00:00.000,56683
2021-05-01 00:00:00.000,93720
2021-05-02 00:00:00.000,99658
2021-05-03 00:00:00.000,41751
2021-05-04 00:00:00.000,26120
2021-05-05 00:00:00.000,31610
2021-05-06 00:00:00.000,28701
2021-05-07 00:00:00.000,29281
2021-05-08 00:00:00.000,24234
2021-05-09 00:00:00.000,27217
2021-05-10 00:00:00.000,20974
2021-05-11 00:00:00.000,25445
2021-05-12 00:00:00.000,23785
2021-05-13 00:00:00.000,31812
2021-05-14 00:00:00.000,26168
2021-05-15 00:00:00.000,31015
2021-05-16 00:00:00.000,36026
2021-05-17 00:00:00.000,25111
2021-05-18 00:00:00.000,25749
2021-05-19 00:00:00.000,20645
2021-05-20 00:00:00.000,29426
2021-05-21 00:00:00.000,33843
2021-05-22 00:00:00.000,76447
2021-05-23 00:00:00.000,120276
2021-05-24 00:00:00.000,96095
2021-05-25 00:00:00.000,64044
2021-05-26 00:00:00.000,76073
2021-05-27 00:00:00.000,96836
2021-05-28 00:00:00.000,64497
2021-05-29 00:00:00.000,171182
2021-05-30 00:00:00.000,110123
2021-05-31 00:00:00.000,110349
2021-06-01 00:00:00.000,77303
2021-06-02 00:00:00.000,53413
2021-06-03 00:00:00.000,45359
2021-06-04 00:00:00.000,92865
2021-06-05 00:00:00.000,240763
2021-06-06 00:00:00.000,237906
2021-06-07 00:00:00.000,79735
2021-06-08 00:00:00.000,63021
2021-06-09 00:00:00.000,89290
2021-06-10 00:00:00.000,120020
2021-06-11 00:00:00.000,89999
2021-06-12 00:00:00.000,178290
2021-06-13 00:00:00.000,118683
2021-06-14 00:00:00.000,69052
2021-06-15 00:00:00.000,68209
2021-06-16 00:00:00.000,41505
2021-06-17 00:00:00.000,52045
2021-06-18 00:00:00.000,55865
2021-06-19 00:00:00.000,105728
2021-06-20 00:00:00.000,151754
2021-06-21 00:00:00.000,46720
2021-06-22 00:00:00.000,31105
2021-06-23 00:00:00.000,50995
2021-06-24 00:00:00.000,76162
2021-06-25 00:00:00.000,55659
2021-06-26 00:00:00.000,138095
2021-06-27 00:00:00.000,163842
2021-06-28 00:00:00.000,49897
2021-06-29 00:00:00.000,28107
2021-06-30 00:00:00.000,30674
2021-07-01 00:00:00.000,25439
2021-07-02 00:00:00.000,79344
2021-07-03 00:00:00.000,144724
2021-07-04 00:00:00.000,137013
2021-07-05 00:00:00.000,64020
2021-07-06 00:00:00.000,14296
2021-07-07 00:00:00.000,11503
2021-07-08 00:00:00.000,12162
2021-07-09 00:00:00.000,17458
2021-07-10 00:00:00.000,35971
2021-07-11 00:00:00.000,83695
2021-07-12 00:00:00.000,23259
2021-07-13 00:00:00.000,13811
2021-07-14 00:00:00.000,17950
2021-07-15 00:00:00.000,12760
2021-07-16 00:00:00.000,16074
2021-07-17 00:00:00.000,20555
2021-07-18 00:00:00.000,30839
2021-07-19 00:00:00.000,37286
2021-07-20 00:00:00.000,22418
2021-07-21 00:00:00.000,28564
2021-07-22 00:00:00.000,18465
2021-07-23 00:00:00.000,20362
2021-07-24 00:00:00.000,31377
2021-07-25 00:00:00.000,23113
2021-07-26 00:00:00.000,10579
2021-07-27 00:00:00.000,22158
2021-07-28 00:00:00.000,12224
2021-07-29 00:00:00.000,17088
2021-07-30 00:00:00.000,16868
2021-07-31 00:00:00.000,25612
2021-08-01 00:00:00.000,20244
2021-08-02 00:00:00.000,22167
2021-08-03 00:00:00.000,15153
2021-08-04 00:00:00.000,15469
2021-08-05 00:00:00.000,9330
2021-08-06 00:00:00.000,9041
2021-08-07 00:00:00.000,8827
2021-08-08 00:00:00.000,9830
2021-08-09 00:00:00.000,10472
2021-08-10 00:00:00.000,10758
2021-08-11 00:00:00.000,9545
2021-08-12 00:00:00.000,9546
