ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0xb772099b6312a9795f6a6cc4ed2324b7660d9ce2,0xe38171c839d3ff70147829d843ee8f9794bc2299,0,0xe38171c839d3ff70147829d843ee8f9794bc2299
0xee972ad3b8ac062de2e4d5e6ea4a37e36c849a11,0xe6d2b07c24e364adc527124f5ba2ae4debd6d285,0,0xe6d2b07c24e364adc527124f5ba2ae4debd6d285
0x1c60841b70821dca733c9b1a26dbe1a33338bd43,0xc5e08104c19dafd00fe40737490da9552db5bfe5,0,0xc5e08104c19dafd00fe40737490da9552db5bfe5
0x7bc6d85a15b21cefd62ce5ab2cf87b611da6be59,0x564aed71080d74b4550bad82dc0baa12737dcb64,0,0x564aed71080d74b4550bad82dc0baa12737dcb64
0x6dba130221a1c39f6623908a136976686050059a,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,0,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6
0x1e31fe630faf5782f20a187d7d21958b5f3bd699,0x2c325156416cc7b701151dafb6d4c0bdf0d398f0,1,0x2638f91804b32190622ef82c6a265d8e9dae57a6
0xbef648e3034e80efe152f3581117c1536fff5afc,0x64a15b1d2de581097cb48e5d82619203e24bb3e1,0,0x64a15b1d2de581097cb48e5d82619203e24bb3e1
0xedfc4f35060de1a30e08b0d8b9986a4adbdf6c59,0xe22c2f9460e76daf26411d46911b66232f4f1253,0,0xe22c2f9460e76daf26411d46911b66232f4f1253
0xf91523bc0ffa151abd971f1b11d2567d4167db3e,0xb9b6856efd128294a912d584366448bc3d4ea979,0,0xb9b6856efd128294a912d584366448bc3d4ea979
0x6ff0de115037a5f36286bb3a19808cf141ff7aed,0x855ae7f1e0ea6f754f4d30b92cdc43a7b045a0b8,0,0x855ae7f1e0ea6f754f4d30b92cdc43a7b045a0b8
0x4daebf1e2d105dce05eca5f7ccdd54293d682d6c,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,1,0xbb2741e75dc07c9ca11a297a9ca73c6f214f769d
0x8d00675315d5e73abb04e5f068910fc4064f4818,0x2f65af414ab11e05a4cf3b46a2a77bd067a520e7,0,0x2f65af414ab11e05a4cf3b46a2a77bd067a520e7
0xa440b2db53baae6cf60cf60002cbf98402ceeb6c,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,1,0x3d0938a6c198a83ec3839a873ef33105681e8073
0x978f7f915eb562d3819a82daf4cee01dd636c2d1,0xa49c0d9a786e659a0557281b4fa72cf8cf08f6cf,1,0xfbc3b76a206f03f1edbf411f280444cd3fd9c7c8
0xc35b0e7c5cb0d0f7441d763c9ae920faac9fbb78,0x497056b9e7832eeadb26c80724eb79d7ad0ca77d,0,0x497056b9e7832eeadb26c80724eb79d7ad0ca77d
0x991be42680e2546ec01ebeb6790baa522681bf61,0x41f51c7f25f5f20f3f6d1657b74c58f9c4132d14,0,0x41f51c7f25f5f20f3f6d1657b74c58f9c4132d14
