CREATOR_ADDRESS,N_NFT_CONTRACTS_CREATED,CREATOR_IS_CONTRACT_ADDRESS
0x4635498ac0b2859e2a1c0bbfa69f3d68f8cbd4be,2,1
0x98b2920d53612483f91f12ed7754e51b4a77919e,1,1
0xee2dc7e30dfd519c93a2b6d3dbd2d969ecb8c312,1,1
0x1a1510f23125897963a3b2d5c35c7fc5492ad055,1,0
0x390ee2f50ce16972e3ffc8ef2a0b47e500f5ca46,1,0
0xa7e68700499ebcc36a00c9a595f2aeffb688041d,5,0
0xbe65e4e1f6ad721aa1397532dfdc38704afcb2e9,1,0
0xbd330355e09d28881bf26efaa0841f021350456b,1,0
0xf4d785122aa9de5fe2cc4a7d27a278cdac2decc5,1,0
0x637253122bc2d89f826b5c4692754291dbdb6504,1,0
0xb3df34f20ca9d2f3ffbf75b6247af60179ca6fa4,1,0
0x456a616bcf96c19b560cfd39cad4bd84c5abb2e5,1,0
0xf00f2b96410d027ca2cfc9df6ed029a82fea47bf,2,0
0x0af6fef0248d666f0bfd73e65485186526411337,1,0
0x01ad75dc5a57680bd83bef6b9ba91dd21520543f,2,0
0x1bf41851e4bd044022dfa7e9c678809f5197a56f,1,0
0x714fdf665698837f2f31c57a3db2dd23a4efe84c,1,0
0x0dd27efa90955296e28a4b3a59e3402694d7d22a,1,0
0xb386e92acf9279cebb13389811c22b77cc649bd6,2,0
0x0b9e91ac92460886cd69e8e2561f2b8185beaade,1,0
0xe92689183961135f51bd5edc601a0aa123c069f3,1,0
0xb549be2dba57d0cdf68399b8887c8398f9582ef6,1,0
0x6b88ccacf59e2bd4df9481c0c90d89936c9ad021,1,0
0x660763a04736d9ef6c9128351a6173026039e35b,1,0
0x67cc1b9d5fd942c8455b2dd8c962656c541ed804,1,0
0x2f64232b3624dd045c62aa9ad17c99039755e2e5,1,0
0xe10f6f23b379a2cf8037aa78c0d87af1d6cd5afd,1,0
0x36b2310e0ab8a149e3f4b1d87a644869aba3bfd9,1,0
0x48819265ee5683b1c9776d9ba9558f20164f9308,1,0
0x5b605ab7566efcfe7e88985e05b21df04f2436d2,1,0
0xb1595c971b574b66874e85d0caa30d69060c74bb,1,0
0xfda462548ce04282f4b6d6619823a7c64fdc0185,1,0
0x52c45bab6d0827f44a973899666d9cd18fd90bcf,1,0
0xeb334a9ed800024889989eb4fbe1e16f4474dcab,2,0
0xdc0d83b367eaec2648ecb387f0371bfcd21374dc,1,0
0x0773fd9894ebc0aac1196c340d8a41a7ab14a7ae,1,0
0xe583f95bf95d0883f94efe844442c8bfc9dd7a7f,1,0
0xb54a407b18e5f36d15e7208d27752db68d4085ea,1,0
0xfd16f84e1f9bb5ec33b52d0133d61f7d20699658,1,0
0x7c912fe29c59d65c53ff80cc1e955b4d81e5a571,1,0
0x50852d4701f25d75697b38213dd198993e6e9db7,1,0
0x2e215dcf8b4ea801de619bbbc828a3142b170f20,1,0
0xa34223a79b330865a0141dbc08b190a9439d418d,1,0
0xbc03f695a1f2a03669fca05ee1e7d2ed702f1b28,2,0
0x2c6941d2174212656a512c7ab9e86e16ceaa6359,1,0
0xf6dfa4a1213f1d14f898f2eb840b1405984fe014,2,0
0x7c5aa293bc282c8881f515125b26a29d83caec17,1,0
0xb99c72ac3dbf79d5e5fcf2da44b4f135af815c52,1,0
0x71bed0c6344c817a5a6b7d2f848d35f2b67c92a4,2,0
0x9109c5b9a5030532b4f116e055d3b1f1e74654cd,2,0
0x905347ed3254d679a157151bc20619a635c516ff,3,1
0x6ee2dd02fbfb71f518827042b6adca242f1ba0b2,1,1
0x0d22116c9500e56a0ce57c3953a2ce51a2709500,1,0
0x87690be28b65f13394741c2c2be5a6bdb0505039,1,0
0x4598700af6b128aabfba084c0eb8f7a513fad825,1,0
0xa4d122232adaeaf0372572917d07714de08ffeff,2,0
0xc00a9ba526583c49a08416cee0c7ffc54c2154f4,1,0
0xdaff0e93f8614d42ae3efa26657587cd4d4bbc21,1,0
0x68a3fdcceb95410c8d07594dd67bc3752d7af8ea,1,0
0xd0351bf6c2da7817bdf057ab14f356e009e6243c,1,0
0x95afe4c371b0cd77dc8481066f3d8a235febc74e,2,0
0x9bfa4c4912ca65919102e5d221404703a089e904,1,0
0x13ede5b6f7d3da059ae4b6c7ad0a8c254c70f6ca,1,0
0x4b9c6933e17a12cf79759c5ec74963b1ab3c71d2,1,0
0x004cb0824debecf4bc0ce8ee42d1d4db76df3248,1,0
0x21bc9179d5c529b52e3ee8f6ecf0e63fa231d16c,1,0
0xe28199b1372f8d62df89390cc60d2215e9c00601,1,0
0xdca92461efc399b821b09cbc8fff41eea1064d8f,3,0
0xf26e79e060ac5a4fea3b25c40dbccc2996ba0f4f,1,0
0x3e070155c3099e557847154c9637ade3510cbda0,3,0
0xa636932234ef6ab9163ff7e04cd0f4741a1d8bdf,1,0
0x952914acf8717d091e885f6508375804b2c5b1f7,1,0
0x38b08883afd0725e4a0e9213591481d9ad33aec4,1,0
